case_id,cycle_time_minutes
119,1.7833333333333334e-09
120,1.5666666666666666e-09
121,1.65e-09
122,1.2e-09
123,8.833333333333333e-10
124,1.3499999999999999e-09
125,1.2999999999999999e-09
126,1.3666666666666667e-09
127,1.5666666666666666e-09
128,9.5e-10
129,1.1833333333333334e-09
130,1.4e-09
131,1.3333333333333333e-09
132,1.1333333333333333e-09
133,9.333333333333332e-10
134,1.25e-09
135,4.666666666666666e-10
136,1.45e-09
137,1.7833333333333334e-09
138,8.833333333333333e-10
139,1.4e-09
140,6e-10
141,7.166666666666667e-10
142,1.45e-09
143,1.25e-09
144,1.5666666666666666e-09
145,1.5833333333333334e-09
146,8.166666666666667e-10
147,1.2833333333333335e-09
148,9.666666666666666e-10
149,1.6166666666666667e-09
150,9.833333333333332e-10
151,1.3833333333333333e-09
152,1.0499999999999999e-09
153,1.5e-09
154,1.4833333333333334e-09
155,1.2999999999999999e-09
156,9.5e-10
157,1.2e-09
158,1.1833333333333334e-09
159,9e-10
160,1.0499999999999999e-09
161,7.833333333333333e-10
162,8.333333333333332e-10
163,1.1e-09
164,1.4333333333333333e-09
165,8.833333333333333e-10
166,8.166666666666667e-10
167,9.166666666666667e-10
168,1.4e-09
169,7.166666666666667e-10
170,5.166666666666666e-10
171,9.166666666666667e-10
172,1.4e-09
173,1.0166666666666667e-09
174,5.666666666666667e-10
175,7e-10
176,4.3333333333333334e-10
177,9.999999999999999e-10
178,8.833333333333333e-10
179,6e-10
180,2.566666666666667e-09
181,9.999999999999999e-10
182,1.2e-09
183,1.6e-09
184,8.166666666666667e-10
185,7e-10
186,1.7333333333333333e-09
187,2.1833333333333334e-09
188,1.5666666666666666e-09
189,1.2e-09
190,1.2e-09
191,1.1666666666666668e-09
192,1.0666666666666667e-09
193,1.4333333333333333e-09
194,4.666666666666666e-10
195,1.5333333333333334e-09
196,7.666666666666667e-10
197,8.166666666666667e-10
198,8.5e-10
199,8.833333333333333e-10
200,2.333333333333333e-10
201,8.833333333333333e-10
202,1.6333333333333335e-09
203,2.7833333333333334e-09
204,1.3333333333333333e-09
205,1.7333333333333333e-09
206,2.0999999999999998e-09
207,1.4e-09
208,8.166666666666667e-10
209,2.9166666666666667e-09
210,9.999999999999999e-10
211,9.999999999999999e-10
212,2.5333333333333337e-09
213,1.3333333333333333e-09
214,1.0833333333333333e-09
215,1.1833333333333334e-09
216,1.2166666666666668e-09
217,1.0666666666666667e-09
218,2.6833333333333334e-09
219,2.4333333333333336e-09
220,1.4166666666666665e-09
221,2.466666666666667e-09
222,1.6e-09
223,9.5e-10
224,2.25e-09
225,2.0999999999999998e-09
226,1.1e-09
227,9.5e-10
228,2.5333333333333337e-09
