case_id,activity,resource,timestamp,activity_duration,prefix_index,timesincelastevent,elapsed_time,remaining_time,open_cases,case_start_time,case_complete_time,method,l,simulation_run,process
1126,ASSEMBLY_2_2,ASSEMBLY2_LINE_2,3940.6260208548265,1.6082465183226304,3,30.17632475544724,39.278417442664704,68.74703084809744,14,3901.347603412162,4009.373051702924,FIFO,0.0155555555555555,0,variant_7
1107,PACKAGING_2,PACKAGING_LINE_2,3940.9630117849,3.5764836422763437,6,5.534394919330225,101.12721432941225,0.0,13,3839.835797455488,3940.9630117849,FIFO,0.0155555555555555,0,variant_1
1132,MOULDING_3,MOULDING_MACHINE_3,3941.2715021347226,11.09699665190601,1,0.0,0.0,31.094454479522938,14,3941.2715021347226,3972.3659566142455,FIFO,0.0155555555555555,0,variant_11
1119,SORTING,SORTING_ROBOT,3942.05134943942,5.167588652855102,4,31.955426598592112,65.14253538833873,2.2646349629681026,14,3876.908814051081,3944.315984402388,FIFO,0.0155555555555555,0,variant_10
1119,PACKAGING_2,PACKAGING_LINE_2,3942.117264754338,0.0659153149181293,5,0.0659153149181293,65.20845070325686,2.1987196480499733,14,3876.908814051081,3944.315984402388,FIFO,0.0155555555555555,0,variant_10
1119,PACKAGING_2,PACKAGING_LINE_2,3944.315984402388,2.1987196480499733,6,2.1987196480499733,67.40717035130683,0.0,13,3876.908814051081,3944.315984402388,FIFO,0.0155555555555555,0,variant_10
1121,SORTING,SORTING_ROBOT,3946.912573680055,4.861224240635238,4,35.645838810346504,55.6250593271634,1.6087071140023,13,3891.287514352892,3948.5212807940575,FIFO,0.0155555555555555,0,variant_12
1120,SORTING,SORTING_ROBOT,3947.228481638501,0.31590795844567765,4,32.201198760075386,72.10413626404716,8.984672721800962,13,3875.1243453744537,3956.213154360302,FIFO,0.0155555555555555,0,variant_13
1114,PACKAGING_1,PACKAGING_LINE_1,3948.4652642560472,11.364916261197322,6,11.581503469482413,85.32596478179539,0.0,12,3863.139299474252,3948.4652642560472,FIFO,0.0155555555555555,0,variant_7
1121,PACKAGING_3,PACKAGING_LINE_3,3948.5212807940575,1.6087071140023,5,1.6087071140023,57.2337664411657,0.0,11,3891.287514352892,3948.5212807940575,FIFO,0.0155555555555555,0,variant_12
1134,MOULDING_2,MOULDING_MACHINE_2,3949.280266779336,8.414608296224287,1,0.0,0.0,31.80458605081776,12,3949.280266779336,3981.084852830154,FIFO,0.0155555555555555,0,variant_10
1131,ASSEMBLY_2_2,ASSEMBLY2_LINE_2,3949.607868839254,8.981847984427532,3,26.402811729666155,29.079514695020862,18.954627316663846,12,3920.528354144233,3968.562496155918,FIFO,0.0155555555555555,0,variant_5
1123,SORTING,SORTING_ROBOT,3949.756091787875,2.5276101493741407,4,20.04978534784459,62.75249865236219,34.53283247242507,12,3887.003593135513,3984.2889242603,FIFO,0.0155555555555555,0,variant_4
1135,MOULDING_2,MOULDING_MACHINE_2,3951.013221025265,1.732954245928795,1,0.0,0.0,39.849236433318765,13,3951.013221025265,3990.862457458584,FIFO,0.0155555555555555,0,variant_7
1130,ASSEMBLY_2_2,ASSEMBLY2_LINE_2,3951.7544610180425,2.1465921787885236,4,20.62191647019381,35.01339363842271,17.72812831269357,13,3916.74106737962,3969.482589330736,FIFO,0.0155555555555555,0,variant_4
1134,ASSEMBLY_1_2,LINE_2_ASSEMBLY1,3952.246056440882,2.9657896615458412,2,2.9657896615458412,2.9657896615458412,28.83879638927192,13,3949.280266779336,3981.084852830154,FIFO,0.0155555555555555,0,variant_10
